group,variable,value
Benjamin Clementine,16:10,0
Benjamin Clementine,16:20,0
Benjamin Clementine,16:30,0
Benjamin Clementine,16:40,0
Benjamin Clementine,16:50,0
Benjamin Clementine,17:00,0
Benjamin Clementine,17:10,0
Benjamin Clementine,17:20,0
Benjamin Clementine,17:30,0
Benjamin Clementine,17:40,0
Benjamin Clementine,17:50,0
Benjamin Clementine,18:00,0
Benjamin Clementine,18:10,0
Benjamin Clementine,18:20,0
Benjamin Clementine,18:30,0
Benjamin Clementine,18:40,0
Benjamin Clementine,18:50,0
Benjamin Clementine,19:00,0
DMM,12:30,100
DMM,12:40,100
DMM,12:50,100
DMM,13:00,100
DMM,13:10,100
DMM,13:20,0
DMM,13:30,0
DMM,13:40,0
DMM,13:50,0
DMM,14:00,0
DMM,14:10,0
DMM,14:20,0
DMM,14:30,0
DMM,14:40,0
DMM,14:50,0
DMM,15:00,0
DMM,15:10,0
DMM,15:20,0
DMM,15:30,0
DMM,15:40,0
DMM,15:50,0
DMM,16:00,0
DMM,16:10,0
DMM,16:20,0
DMM,16:30,0
DMM,16:40,0
DMM,16:50,0
DMM,17:00,0
DMM,17:10,0
DMM,17:20,0
DMM,17:30,0
DMM,17:40,0
DMM,17:50,0
DMM,18:00,0
DMM,18:10,0
DMM,18:20,0
DMM,18:30,0
DMM,18:40,0
DMM,18:50,0
DMM,19:00,0
